"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.473156760847116,0.22960227868377,-3.2592382419094,0.00111711814238282
"contractOne Year",0.260294012352731,0.110105164979114,-12.2241628753047,2.30948508490113e-34
"contractTwo Year",0.0924887134925233,0.16977981414921,-14.0220948534739,1.14193425184805e-44
"tenure_months",0.961044801401621,0.00244632297376618,-16.2424389420212,2.52675278379795e-59
"monthly_charge",1.02139124367636,0.00345759282293526,6.12150227462285,9.26971953566917e-10
"premium_tech_supportNot Applicable",0.502849264355886,0.194450848405255,-3.53541695847677,0.000407132186464307
"premium_tech_supportYes",0.593128987630626,0.0980775803010428,-5.32581844852654,1.00499474483768e-07
"internet_typeDSL",0.699868788269675,0.132417192096079,-2.69498545610987,0.00703917034870691
"internet_typeFiber Optic",0.830936584356853,0.16208647932609,-1.14261103242711,0.253200122919896
"internet_typeNot Applicable",NA,NA,NA,NA
"number_of_referrals",0.586633968660035,0.0342797065538718,-15.5588909599243,1.38477602384434e-54
"age",1.01299963822305,0.00225111969715816,5.73753059359006,9.60669304609432e-09
"number_of_dependents",0.509380469538476,0.0622433393485447,-10.8374657330493,2.28719243590715e-27
"marriedYes",5.04551771821275,0.112890087012285,14.3369565161763,1.28571378518003e-46
